Indicator,Wins,Losses,Total Trades,Overall Profit,Win Rate
1 week SuperTrend Vs DEMA,122,300,422,117.96748,0.2890995260663507
1 week MA,144,385,529,2536.2138353499995,0.2722117202268431
1 week EMA,196,550,746,2607.607185,0.26273458445040215
8 hours KDJ,602,1732,2334,140.23595886,0.2579263067694944
1 week Bollinger,214,621,835,2527.5449084599995,0.2562874251497006
1 week RSI,719,2129,2848,2573.5987869999994,0.25245786516853935
30 minutes TSI,1306,3872,5178,2526.5393950000007,0.2522209347238316
3 days SuperTrend Vs DEMA,231,689,920,2545.055614990001,0.2510869565217391
2 hours KDJ,912,2743,3655,1531.4877927399982,0.24952120383036935
1 hour KDJ,1317,3990,5307,2526.3603714100004,0.24816280384397965
1 day MA,567,1721,2288,999.1283462799997,0.2478146853146853
15 minutes MA,1194,3636,4830,2141.5380864099993,0.24720496894409938
15 minutes EMA,1216,3720,4936,2150.0376614100005,0.24635332252836303
30 minutes MA,702,2148,2850,1289.36217182,0.2463157894736842
15 minutes SuperTrend Vs DEMA,777,2395,3172,925.0288608199995,0.24495586380832282
5 minutes KDJ,952,2942,3894,2065.1380005099995,0.24447868515665125
15 minutes RSI,1254,3878,5132,2687.1916860000024,0.24434918160561184
6 hours KDJ,538,1666,2204,883.8980276399997,0.2441016333938294
30 minutes RSI,1290,3998,5288,2687.8785690000027,0.24394856278366112
12 hours KDJ,617,1915,2532,1778.459299390001,0.24368088467614535
1 day EMA,568,1772,2340,1248.221877279999,0.24273504273504273
1 week KDJ,1129,3530,4659,2584.317242989999,0.24232667954496673
30 minutes Bollinger,1255,3927,5182,2679.4146434100007,0.24218448475492088
8 hours MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
4 hours MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
1 week MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
30 minutes MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
6 hours MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
1 hour MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
15 minutes MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
5 minutes MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
12 hours MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
3 days MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
2 hours MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
1 day MACD,1422,4451,5873,2689.361782460001,0.24212497871615868
15 minutes TSI,1346,4214,5560,2677.645653000002,0.2420863309352518
1 hour RSI,1139,3596,4735,2610.2597280000014,0.2405491024287223
3 days TSI,1037,3288,4325,1446.7492391099993,0.23976878612716762
1 day SuperTrend Vs DEMA,744,2365,3109,2551.1049421200005,0.239305242843358
15 minutes Bollinger,1331,4232,5563,2661.331074410001,0.23925939241416502
5 minutes EMA,1314,4180,5494,2660.376529460001,0.23917000364033492
3 days EMA,294,938,1232,2538.228687989999,0.23863636363636365
5 minutes SuperTrend Vs DEMA,1202,3844,5046,2659.539654410001,0.2382084819659136
5 minutes RSI,916,2933,3849,2521.0172130000014,0.2379838919199792
5 minutes Bollinger,1216,3899,5115,2550.57645246,0.23773216031280547
1 week TSI,346,1112,1458,2526.6541624599995,0.23731138545953362
2 hours RSI,653,2106,2759,1027.8712219999998,0.23667995650598042
15 minutes KDJ,1044,3370,4414,2502.5951011800007,0.23652016311735388
4 hours MA,538,1747,2285,1189.1639103899997,0.23544857768052516
4 hours KDJ,491,1595,2086,765.5248398699996,0.23537871524448706
4 hours TSI,541,1759,2300,891.4856850000002,0.23521739130434782
30 minutes KDJ,1244,4049,5293,2607.8434994600007,0.23502739467220857
5 minutes MA,1213,3965,5178,2012.8019514599996,0.23426033217458478
5 minutes TSI,1033,3388,4421,1979.1926109999993,0.23365754354218501
3 days Bollinger,619,2062,2681,2034.864353989999,0.23088399850801938
3 days MA,524,1749,2273,2548.7356384600002,0.23053233611966564
1 day TSI,507,1704,2211,95.36284712000001,0.22930800542740842
30 minutes SuperTrend Vs DEMA,459,1544,2003,1003.2442009399999,0.2291562656015976
1 day RSI,539,1827,2366,103.65492700000011,0.22781065088757396
8 hours SuperTrend Vs DEMA,496,1696,2192,1000.9229889999998,0.22627737226277372
30 minutes EMA,696,2380,3076,906.2426388199999,0.22626788036410922
12 hours SuperTrend Vs DEMA,518,1777,2295,966.4447369999996,0.22570806100217866
1 day Bollinger,417,1456,1873,107.0036351200001,0.2226374799786439
1 hour Bollinger,824,2884,3708,1071.0218088199995,0.2222222222222222
2 hours TSI,465,1629,2094,260.2323729999999,0.22206303724928367
3 days RSI,672,2368,3040,1017.1002749999997,0.22105263157894736
3 days KDJ,460,1626,2086,996.4141151199998,0.22051773729626079
1 hour TSI,654,2318,2972,412.4703939999997,0.22005383580080753
6 hours TSI,516,1832,2348,1179.1521560000006,0.21976149914821125
4 hours RSI,444,1603,2047,648.5225430000002,0.2169027845627748
12 hours EMA,425,1554,1979,990.7087831199998,0.21475492673067206
2 hours SuperTrend Vs DEMA,290,1064,1354,45.391273999999996,0.21418020679468242
12 hours RSI,338,1241,1579,43.264098,0.21405953134895503
4 hours Bollinger,426,1586,2012,622.9203014,0.2117296222664016
8 hours RSI,358,1336,1694,53.332508999999966,0.21133412042502953
2 hours EMA,388,1448,1836,72.14642528999998,0.2113289760348584
2 hours MA,399,1490,1889,239.60835428999997,0.2112228692429857
1 hour SuperTrend Vs DEMA,354,1326,1680,589.9937454000001,0.21071428571428572
6 hours RSI,378,1423,1801,85.696105,0.20988339811215992
1 hour EMA,419,1588,2007,76.0438444,0.20876930742401595
6 hours Bollinger,379,1456,1835,74.49115528999997,0.20653950953678474
8 hours EMA,393,1528,1921,987.288558,0.20458094742321709
6 hours SuperTrend Vs DEMA,380,1501,1881,65.59258511999998,0.20202020202020202
8 hours TSI,461,1823,2284,1079.3078299999993,0.20183887915936952
2 hours Bollinger,473,1874,2347,752.2414153900003,0.20153387302939924
4 hours SuperTrend Vs DEMA,319,1264,1583,62.89131499999993,0.20151610865445357
6 hours MA,455,1823,2278,1076.626934999999,0.1997366110623354
8 hours MA,438,1772,2210,1071.601309999999,0.19819004524886877
12 hours MA,413,1675,2088,92.69863699999998,0.1977969348659004
6 hours EMA,382,1550,1932,962.282072,0.19772256728778467
4 hours EMA,375,1523,1898,77.03797728999997,0.1975763962065332
1 day KDJ,495,2035,2530,284.9670719999998,0.1956521739130435
12 hours Bollinger,344,1417,1761,70.53161299999995,0.19534355479841
12 hours TSI,403,1695,2098,619.5273971800003,0.1920877025738799
8 hours Bollinger,363,1528,1891,1069.2720689999992,0.19196192490745637
1 hour MA,258,1091,1349,52.47892029,0.19125277983691624
1 month MACD,0,0,0,0.0,0.0
1 month KDJ,0,0,0,0.0,0.0
1 month EMA,0,0,0,0.0,0.0
1 month MA,0,0,0,0.0,0.0
1 month TSI,0,0,0,0.0,0.0
1 month SuperTrend Vs DEMA,0,0,0,0.0,0.0
1 month RSI,0,0,0,0.0,0.0
1 minute MACD,0,0,0,0.0,0.0
1 minute RSI,0,0,0,0.0,0.0
3 minutes Bollinger,0,0,0,0.0,0.0
3 minutes SuperTrend Vs DEMA,0,0,0,0.0,0.0
3 minutes TSI,0,0,0,0.0,0.0
3 minutes MA,0,0,0,0.0,0.0
3 minutes EMA,0,0,0,0.0,0.0
3 minutes KDJ,0,0,0,0.0,0.0
3 minutes RSI,0,0,0,0.0,0.0
3 minutes MACD,0,0,0,0.0,0.0
1 minute Bollinger,0,0,0,0.0,0.0
1 minute SuperTrend Vs DEMA,0,0,0,0.0,0.0
1 minute TSI,0,0,0,0.0,0.0
1 minute MA,0,0,0,0.0,0.0
1 minute EMA,0,0,0,0.0,0.0
1 minute KDJ,0,0,0,0.0,0.0
1 month Bollinger,0,0,0,0.0,0.0
